id,name,serving_sie,calorie,carbohydrate,protein,fat
1,감자 주먹 밥,215,239.38,41.9,8.97,5.61
2,고추장불고기 삼각김밥,100,165.29,34.11,3.66,1.58
3,고추장불고기 삼각김밥(강원도),100,165,35.46,3.83,0.91
4,고추장불고기 삼각김밥(경기도),100,167,34.99,3.49,1.46
5,고추장불고기 삼각김밥(경상도),100,165,35.71,3.62,0.84
6,고추장불고기 삼각김밥(서울),100,171,32.98,3.45,2.76
7,고추장불고기 삼각김밥(전라도),100,164,32.5,3.69,2.18
8,고추장불고기 삼각김밥(충청도),100,160,33.03,3.89,1.32
9,곤드레나물밥(정선),350,521.83,98.86,10.28,9.48
10,국밥(안성),800,418.34,58.58,27.55,8.2
11,"국밥, 굴",100,105.13,13.6,6.53,2.73
12,김밥,200,317.68,57.57,7.26,6.48
13,김밥(강원도),200,322,60.79,6.55,5.75
14,김밥(경기도),200,354,64.43,6.84,7.68
15,김밥(경상도),200,310,54.21,6.81,7.36
16,김밥(서울),200,304,53.1,10.33,5.56
17,김밥(전라도),200,314,56.09,5.65,7.45
18,김밥(충청도),200,302,56.83,7.39,5.08
19,김치 고구마 밥,206,247.84,54.01,3.79,2.51
20,김치김밥,250,344.97,60.67,10.93,6.51
21,김치김밥(강원도),250,347.5,61.73,9.6,6.78
22,김치김밥(경기도),250,345,59.19,10.66,7.37
23,김치김밥(경상도),250,335,62.06,11.4,4.6
24,김치김밥(서울),250,357.5,62.24,11.38,7.03
25,김치김밥(전라도),250,340,59.55,11.12,6.28
26,김치김밥(충청도),250,345,59.22,11.41,7.02
27,김치볶음밥,500,754.73,120,23.07,20.27
28,김치볶음밥(강원도),500,805,120.46,21.83,26.2
29,김치볶음밥(경기도),500,780,127.39,20.15,20.92
30,김치볶음밥(경상도),500,760,124.92,25.11,17.62
31,김치볶음밥(서울),500,720,115.22,25.67,17.17
32,김치볶음밥(전라도),500,700,102.82,27.38,20.09
33,김치볶음밥(충청도),500,765,129.18,18.24,19.66
34,김치쌈밥,169,205.15,39.48,7.55,4.11
35,농어초밥,250,396.74,78.75,17.43,1.34
36,농어초밥(강원도),250,397.5,79.5,18.61,0.58
37,농어초밥(경기도),250,392.5,77.07,16.66,1.95
38,농어초밥(경상도),250,392.5,80.29,15.51,1.04
39,농어초밥(서울),250,372.5,63.16,23.39,3.04
40,농어초밥(전라도),250,420,88.58,15.86,0.36
41,농어초밥(충청도),250,402.5,83.88,14.56,1.06
42,돼지국밥(밀양),1200,911.4,74.66,66.36,38.59
43,두부 채소 볶음밥,281,321.41,60.3,13.63,6.58
44,레몬이 들어간 새우 케밥,200,215.4,35.02,15.16,2.86
45,류산슬덮밥,550,574.99,73.95,26.96,19.04
46,류산슬덮밥(강원도),550,572,78.78,25.6,17.21
47,류산슬덮밥(경기도),550,555.5,78.37,25.37,15.72
48,류산슬덮밥(경상도),550,577.5,65.27,31.34,21.5
49,류산슬덮밥(서울),550,599.5,79.62,27.5,19.26
50,류산슬덮밥(전라도),550,528,58.7,24.51,21.43
51,류산슬덮밥(충청도),550,616,82.95,27.46,19.11
52,멍게비빔밥(거제),400,547.21,90.67,16.57,13.14
53,멸치주먹밥,150,312.43,54.33,9.04,6.55
54,묵밥(영주),950,642.16,128.55,14.76,7.66
55,문어초밥,250,392.23,81.78,14.61,0.74
56,문어초밥(강원도),250,375,78.43,13.62,0.86
57,문어초밥(경기도),250,375,77.57,14.14,0.95
58,문어초밥(경상도),250,380,79.71,14.61,0.4
59,문어초밥(서울),250,362.5,70.11,18.51,0.92
60,문어초밥(전라도),250,440,94.63,13.48,0.94
61,문어초밥(충청도),250,417.5,90.21,13.33,0.37
62,볶음밥,400,773.3,112.68,18.79,27.5
63,볶음밥(강원도),400,852,115.84,21.45,33.46
64,볶음밥(경기도),400,600,72.86,15.9,27.29
65,볶음밥(경상도),400,812,132.69,16.38,24.03
66,볶음밥(서울),400,640,101.28,20.5,17.18
67,볶음밥(전라도),400,888,126.64,19.68,33.54
68,볶음밥(충청도),400,848,126.74,18.81,29.47
69,불고기덮밥,500,669.3,102.35,28.62,16.16
70,불고기덮밥(강원도),500,680,95.92,27.26,20.77
71,불고기덮밥(경기도),500,675,108.98,27.97,14.06
72,불고기덮밥(경상도),500,655,106.48,26.67,13.52
73,불고기덮밥(서울),500,640,74.16,38.41,21.23
74,불고기덮밥(전라도),500,700,118.82,20.58,15.7
75,불고기덮밥(충청도),500,665,109.75,30.85,11.66
76,비빔밥,500,706.62,114.83,19.92,18.62
77,비빔밥(강원도),500,850,94.89,22.59,42.27
78,비빔밥(경기도),500,635,122.28,19.14,7.95
79,비빔밥(경상도),500,695,109.9,18,20.24
80,비빔밥(서울),500,670,116.56,21.35,13.23
81,비빔밥(전라도),500,685,123.08,21.09,11.9
82,비빔밥(전주),450,691.62,98.73,24.6,22.03
83,비빔밥(충청도),500,705,122.26,17.35,16.16
84,삼선볶음밥,400,686.11,85.75,26.24,26.46
85,삼선볶음밥(강원도),400,676,84.72,27.46,25.36
86,삼선볶음밥(경기도),400,568,77.76,21.97,18.64
87,삼선볶음밥(경상도),400,724,93.44,27.78,26.41
88,삼선볶음밥(서울),400,708,90.74,24.49,27.48
89,삼선볶음밥(전라도),400,716,77.83,28.65,32.24
90,삼선볶음밥(충청도),400,728,90.03,27.06,28.64
91,새싹 비빔밥,251,264.53,50.53,8.73,5.35
92,새우볶음밥,400,700.02,112.86,17.92,19.66
93,새우볶음밥(강원도),400,708,121.17,16.85,17.45
94,새우볶음밥(경기도),400,676,109.86,17.91,18.22
95,새우볶음밥(경상도),400,648,102.3,19.14,18
96,새우볶음밥(서울),400,752,113.46,18.4,24.92
97,새우볶음밥(전라도),400,680,100.73,19.17,22.1
98,새우볶음밥(충청도),400,736,129.62,16.04,17.25
99,새우초밥,250,387.67,78.42,16.81,0.75
100,새우초밥(강원도),250,382.5,77.51,17.22,0.41
101,새우초밥(경기도),250,390,78.15,16.36,1.3
102,새우초밥(경상도),250,405,85.46,14.89,0.28
103,새우초밥(서울),250,372.5,72.77,19.27,0.46
104,새우초밥(전라도),250,400,81.17,16.4,1.2
105,새우초밥(충청도),250,377.5,75.47,16.68,0.87
106,새우튀김롤,300,606.5,96.28,14.47,18.17
107,새우튀김롤(강원도),300,612,88.61,13.33,22.76
108,새우튀김롤(경기도),300,627,98.65,14.03,19.72
109,새우튀김롤(경상도),300,549,95.72,14.46,12.07
110,새우튀김롤(서울),300,645,103.08,15.29,19.04
111,새우튀김롤(전라도),300,570,90.25,15.08,16.5
112,새우튀김롤(충청도),300,633,101.37,14.62,18.92
113,샐러드김밥,250,405.95,61.45,9.61,13.52
114,샐러드김밥(강원도),250,407.5,63.23,8.62,13.3
115,샐러드김밥(경기도),250,402.5,60.54,10.22,13.39
116,샐러드김밥(경상도),250,400,58.1,10.85,13.87
117,샐러드김밥(서울),250,402.5,64.73,9.86,11.65
118,샐러드김밥(전라도),250,395,61.73,8.89,12.58
119,샐러드김밥(충청도),250,425,60.37,9.26,16.33
120,생선초밥(광어),300,453.78,77.55,27.07,3.92
121,생선초밥(광어)(강원도),300,465,89.64,19.97,3.04
122,생선초밥(광어)(경기도),300,462,80.18,25.63,4.43
123,생선초밥(광어)(경상도),300,435,75.85,26.56,2.71
124,생선초밥(광어)(서울),300,444,67.79,35.09,3.73
125,생선초밥(광어)(전라도),300,465,72.85,27.63,6.99
126,생선초밥(광어)(충청도),300,450,78.98,27.55,2.62
127,생선초밥(모듬),300,461.97,76.43,25.42,6.06
128,생선초밥(모듬)(강원도),300,426,68.96,27.71,4.26
129,생선초밥(모듬)(경기도),300,453,81.68,22.97,3.79
130,생선초밥(모듬)(경상도),300,465,78.35,22.31,7.04
131,생선초밥(모듬)(서울),300,474,72.76,28.06,8
132,생선초밥(모듬)(전라도),300,474,79.7,27.27,5.06
133,생선초밥(모듬)(충청도),300,480,77.13,24.21,8.22
134,소고기국밥(밥포함),700,330.53,42.62,21.82,8.09
135,소고기김밥,250,400.61,62.52,15.98,9.62
136,소고기김밥(강원도),250,402.5,60.93,15.61,10.57
137,소고기김밥(경기도),250,395,62.29,15.26,9.45
138,소고기김밥(경상도),250,370,63.03,16.02,5.85
139,소고기김밥(서울),250,395,65.45,15.12,8
140,소고기김밥(전라도),250,432.5,63.76,16.47,12.43
141,소고기김밥(충청도),250,410,59.63,17.39,11.44
142,소머리국밥,800,631.99,17.53,75.98,28.66
143,소머리국밥(강원도),800,616,3.62,86.18,28.35
144,소머리국밥(경기광주),1100,903.95,74.87,83.19,30.18
145,소머리국밥(경기도),800,792,15.53,96.42,37.97
146,소머리국밥(경상도),800,784,30.76,86.93,34.96
147,소머리국밥(서울),800,552,17.24,54.48,29.61
148,소머리국밥(전라도),800,600,23.16,76.11,22.63
149,소머리국밥(충청도),800,448,14.87,55.81,18.42
150,송이덮밥,600,581.81,95.6,18.22,14.06
151,송이덮밥(강원도),600,528,114.44,16.33,0.32
152,송이덮밥(경기도),600,570,101.41,18.48,10.19
153,송이덮밥(경상도),600,606,88.75,21.23,18.74
154,송이덮밥(서울),600,594,89.45,17.03,18.76
155,송이덮밥(전라도),600,552,81.89,15.37,18.07
156,송이덮밥(충청도),600,636,97.65,20.84,18.27
157,쇠고기 말이 쌈밥,150,203.71,27.5,11.23,6.09
158,숯불갈비 삼각김밥,100,172.4,31.95,3.94,3.2
159,숯불갈비 삼각김밥(강원도),100,162,31.24,4.36,2.22
160,숯불갈비 삼각김밥(경기도),100,160,32.22,3.61,1.83
161,숯불갈비 삼각김밥(경상도),100,158,33.54,4,0.92
162,숯불갈비 삼각김밥(서울),100,162,32.39,4.16,1.76
163,숯불갈비 삼각김밥(전라도),100,165,32.85,4.01,2
164,숯불갈비 삼각김밥(충청도),100,159,33.04,3.85,1.31
165,쌀밥,200,272,66.4,6,0.2
166,쌈밥,316,314.55,57.51,13.21,3.63
167,알밥,400,618.5,116.78,14.59,10.34
168,알밥(강원도),400,556,105.94,14.36,8.23
169,알밥(경기도),400,660,116.46,10.87,16.88
170,알밥(경상도),400,652,123.42,15.98,10.65
171,알밥(서울),400,636,124.11,14.91,8.8
172,알밥(전라도),400,620,115.51,17.46,9.59
173,알밥(충청도),400,588,115.22,13.96,7.87
174,약초비빔밥(산청),400,511.8,80.16,11.9,15.95
175,연어롤,300,510.19,74.32,18.57,15.41
176,연어롤(강원도),300,534,73.26,19.47,18.17
177,연어롤(경기도),300,495,70.83,18.41,15.25
178,연어롤(경상도),300,462,80.5,18.18,7.45
179,연어롤(서울),300,543,65.78,21.45,21.59
180,연어롤(전라도),300,492,82.8,16.96,10.49
181,연어롤(충청도),300,534,72.74,16.96,19.47
182,연어초밥,250,447.32,71.04,18.88,9.74
183,연어초밥(강원도),250,427.5,71.18,17.84,7.94
184,연어초밥(경기도),250,432.5,70.62,18.65,8.36
185,연어초밥(경상도),250,447.5,72.42,17.69,9.72
186,연어초밥(서울),250,487.5,54.47,23.6,19.5
187,연어초밥(전라도),250,442.5,82.91,17.59,4.6
188,연어초밥(충청도),250,445,74.61,17.92,8.31
189,영양밥,174,321.41,63.61,6.3,5.06
190,오곡밥,250,390,82.25,12,1.25
191,오므라이스,450,729.97,112.45,21.52,21.56
192,오므라이스(강원도),450,796.5,108.45,17.43,32.49
193,오므라이스(경기도),450,724.5,120.2,20.78,18.03
194,오므라이스(경상도),450,670.5,117.68,20,13.55
195,오므라이스(서울),450,733.5,114.3,21.97,20.87
196,오므라이스(전라도),450,661.5,101.99,27.19,15.98
197,오므라이스(충청도),450,792,112.1,21.75,28.46
198,오징어 덮밥,500,679.9,107.31,31.5,13.85
199,오징어 덮밥(강원도),500,730,128.82,28.31,11.35
200,오징어 덮밥(경기도),500,665,91.12,33.38,18.47
201,오징어 덮밥(경상도),500,615,108.25,29.9,6.84
202,오징어 덮밥(서울),500,695,102.49,32.67,16.92
203,오징어 덮밥(전라도),500,720,95.48,33.03,22.74
204,오징어 덮밥(충청도),500,660,117.7,31.73,6.78
205,유부초밥,250,446.33,82.31,12.45,7.47
206,유부초밥(강원도),250,470,76.53,10.18,13.71
207,유부초밥(경기도),250,445,80.75,12.24,8.1
208,유부초밥(경상도),250,430,82.72,12.15,5.61
209,유부초밥(서울),250,460,81.23,15.19,8.25
210,유부초밥(전라도),250,437.5,89.77,12.91,2.99
211,유부초밥(충청도),250,435,82.83,12.05,6.2
212,육회비빔밥,450,679.7,96.18,29.18,19.8
213,육회비빔밥(강원도),450,666,88.65,29.37,21.77
214,육회비빔밥(경기도),450,702,104.86,26.68,19.52
215,육회비빔밥(경상도),450,639,86.44,29.82,19.22
216,육회비빔밥(서울),450,661.5,99.59,28.82,16.27
217,육회비빔밥(전라도),450,697.5,99.39,31.45,19.48
218,육회비빔밥(충청도),450,711,98.18,28.98,22.55
219,자장밥,500,741.66,120.06,15.23,22.27
220,자장밥(강원도),500,710,135.8,15.47,11.48
221,자장밥(경기도),500,725,135.12,11.85,15.43
222,자장밥(경상도),500,740,114.24,14.38,25.32
223,자장밥(서울),500,770,107.8,23.15,27.33
224,자장밥(전라도),500,760,109.89,16.77,28.25
225,자장밥(충청도),500,740,117.49,9.8,25.85
226,잡채밥,650,884.66,159.47,19.49,18.76
227,잡채밥(강원도),650,962,173.39,18.33,21.59
228,잡채밥(경기도),650,858,151.11,17.31,20.14
229,잡채밥(경상도),650,825.5,163.65,17.18,11.23
230,잡채밥(서울),650,858,160.57,19.55,15.07
231,잡채밥(전라도),650,923,153.43,23.78,23.84
232,잡채밥(충청도),650,890.5,154.65,20.79,20.68
233,잡탕밥,750,777.44,104.94,44.12,20.14
234,잡탕밥(강원도),750,795,95.69,45.53,25.17
235,잡탕밥(경기도),750,787.5,116.62,38.39,18.2
236,잡탕밥(경상도),750,727.5,108.31,44.77,12.85
237,잡탕밥(서울),750,817.5,82.67,44.8,34.28
238,잡탕밥(전라도),750,772.5,106.93,44.86,18.14
239,잡탕밥(충청도),750,772.5,119.41,46.37,12.19
240,장어덮밥,400,716.54,97.35,30.09,22.98
241,장어덮밥(강원도),400,800,96.06,34.7,30.97
242,장어덮밥(경기도),400,712,102.71,30.85,19.65
243,장어덮밥(경상도),400,740,106.77,28.16,22.26
244,장어덮밥(서울),400,696,101.66,27.43,20
245,장어덮밥(전라도),400,688,87.97,29.23,24.46
246,장어덮밥(충청도),400,660,88.93,30.14,20.51
247,장어초밥,250,486.26,80.68,16.52,10.83
248,장어초밥(강원도),250,482.5,80.04,18.98,9.6
249,장어초밥(경기도),250,470,83.62,15.38,8.29
250,장어초밥(경상도),250,492.5,84.67,13.94,11.03
251,장어초밥(서울),250,520,71.74,21.63,16.35
252,장어초밥(전라도),250,467.5,82.29,14.07,9.18
253,장어초밥(충청도),250,482.5,81.72,15.12,10.53
254,제육덮밥,500,782.38,115.49,30.08,22.24
255,제육덮밥(강원도),500,710,103.12,35.23,17.34
256,제육덮밥(경기도),500,805,119.76,28.4,23.34
257,제육덮밥(경상도),500,765,111.81,28.02,22.88
258,제육덮밥(서울),500,860,99.4,35.1,35.76
259,제육덮밥(전라도),500,810,128.8,25.03,21.72
260,제육덮밥(충청도),500,745,129.99,28.68,12.38
261,짬뽕밥,900,661.76,110.85,29.05,11.35
262,짬뽕밥(강원도),900,648,119.28,23.92,8.51
263,짬뽕밥(경기도),900,612,109.58,26.85,7.8
264,짬뽕밥(경상도),900,648,97.18,31.1,14.71
265,짬뽕밥(서울),900,684,110.17,28.73,13.99
266,짬뽕밥(전라도),900,675,101.43,34.56,14.98
267,짬뽕밥(충청도),900,702,127.46,29.16,8.09
268,참치김밥,250,424.07,64.76,12.73,12.68
269,참치김밥(강원도),250,467.5,54.87,13.77,21.39
270,참치김밥(경기도),250,395,63.7,12.9,9.95
271,참치김밥(경상도),250,415,68.93,13.62,9.47
272,참치김밥(서울),250,417.5,61.64,16.36,11.68
273,참치김밥(전라도),250,405,64.14,12.82,10.86
274,참치김밥(충청도),250,407.5,53.99,17.59,13.48
275,참치덮밥,500,679.1,102.93,29.2,16.73
276,참치덮밥(강원도),500,690,108.12,31.19,14.69
277,참치덮밥(경기도),500,700,110.49,22.76,18.57
278,참치덮밥(경상도),500,665,79.65,29.91,24.97
279,참치덮밥(서울),500,730,108.68,34.06,17.57
280,참치덮밥(전라도),500,610,93.64,25.99,14.7
281,참치덮밥(충청도),500,680,117,31.31,9.89
282,참치마요네즈 삼각김밥,100,161.24,32.55,4,1.67
283,참치마요네즈 삼각김밥(강원도),100,175,31.57,4.16,3.6
284,참치마요네즈 삼각김밥(경기도),100,166,31.82,3.75,2.66
285,참치마요네즈 삼각김밥(경상도),100,171,33.21,3.84,2.57
286,참치마요네즈 삼각김밥(서울),100,178,31.23,4.16,4.05
287,참치마요네즈 삼각김밥(전라도),100,174,30.48,3.72,4.14
288,참치마요네즈 삼각김밥(충청도),100,169,33.42,4.01,2.2
289,충무김밥,400,583.93,109.16,23.42,5.96
290,충무김밥(강원도),400,608,120.46,21.18,4.59
291,충무김밥(경기도),400,592,103.55,28.13,7.18
292,충무김밥(경상도),400,564,105.38,24.85,4.93
293,충무김밥(서울),400,580,102.54,26.39,6.93
294,충무김밥(전라도),400,596,109.47,25.23,6.39
295,충무김밥(충청도),400,564,113.54,14.77,5.72
296,치즈김밥,300,510,77.7,15.3,15.3
297,치즈김밥(강원도),250,425,64.19,13.02,12.79
298,치즈김밥(경기도),250,392.5,67.42,12.83,7.81
299,치즈김밥(경상도),250,422.5,63.83,12.26,13.05
300,치즈김밥(서울),250,437.5,68.28,13.95,12.03
301,치즈김밥(전라도),250,435,61.76,12.6,15.35
302,치즈김밥(충청도),250,435,63.07,11.72,15.06
303,카레라이스,500,672.01,126.01,13.49,12.66
304,카레라이스(강원도),500,765,130.46,13.31,21.23
305,카레라이스(경기도),500,625,128.99,14.42,5.66
306,카레라이스(경상도),500,635,134.58,13.13,4.89
307,카레라이스(서울),500,705,105.58,14.52,24.72
308,카레라이스(전라도),500,625,136.82,12.9,2.65
309,카레라이스(충청도),500,680,119.62,12.68,16.85
310,캘리포니아롤,300,487.64,89.23,12.33,9.05
311,캘리포니아롤(강원도),300,459,87.43,11.82,6.74
312,캘리포니아롤(경기도),300,468,86.18,11.59,8.52
313,캘리포니아롤(경상도),300,483,94.66,13.06,5.9
314,캘리포니아롤(서울),300,489,84.55,12.4,11.16
315,캘리포니아롤(전라도),300,531,93.24,12.49,12.02
316,캘리포니아롤(충청도),300,498,89.29,12.61,9.93
317,콩나물국밥(전주),900,429.65,71.08,18.5,7.93
318,콩나물해장국,700,223.26,12.05,24,8.78
319,콩나물해장국(강원도),700,280,11.56,34.71,10.35
320,콩나물해장국(경기도),700,231,10.18,19.94,11.97
321,콩나물해장국(경상도),700,238,7.66,18.93,14.7
322,콩나물해장국(서울),700,189,13.52,23.73,4.58
323,콩나물해장국(전라도),700,259,20.29,20.18,10.46
324,콩나물해장국(충청도),700,147,9.12,26.52,0.62
325,한치초밥,250,374.18,77.92,13.71,0.85
326,한치초밥(강원도),250,362.5,76.88,13.21,0.28
327,한치초밥(경기도),250,382.5,81.34,12.46,0.71
328,한치초밥(경상도),250,372.5,77.4,13.5,1.04
329,한치초밥(서울),250,342.5,65.97,18.23,0.65
330,한치초밥(전라도),250,397.5,85.15,12.32,0.97
331,한치초밥(충청도),250,387.5,80.8,12.55,1.44
332,해물덮밥,700,771.93,100.45,42.03,22.44
333,해물덮밥(강원도),700,763,125.95,30.67,15.49
334,해물덮밥(경기도),700,686,86,46.7,17.11
335,해물덮밥(경상도),700,805,96.73,45.39,26
336,해물덮밥(서울),700,770,82.03,52,25.98
337,해물덮밥(전라도),700,840,97.28,42.41,30.93
338,해물덮밥(충청도),700,770,114.7,35.06,19.14
339,해물볶음밥,400,705.22,90.46,25.1,27
340,해물볶음밥(강원도),400,728,94.9,28.93,26.05
341,해물볶음밥(경기도),400,716,80.38,29.13,30.67
342,해물볶음밥(경상도),400,748,104.04,24.62,25.78
343,해물볶음밥(서울),400,684,76.31,22.57,31.94
344,해물볶음밥(전라도),400,620,82.37,20.78,22.98
345,해물볶음밥(충청도),400,740,104.76,24.6,24.56
346,회덮밥,500,683.02,103.3,30.21,16.56
347,회덮밥(강원도),500,600,92.85,33.07,10.62
348,회덮밥(경기도),500,720,120.57,22.25,16.71
349,회덮밥(경상도),500,645,77.29,36.83,21.15
350,회덮밥(서울),500,770,88.22,32.35,31.97
351,회덮밥(전라도),500,715,118.88,33.15,11.65
352,회덮밥(충청도),500,645,122,23.6,7.22
353,고등어 강정,65,154.59,10.1,7.66,9.16
354,곰보빵,70,277.34,42.16,6.31,9.27
355,곰보빵(강원도),70,270.9,41.68,6.44,8.7
356,곰보빵(경기도),70,277.9,41.5,6.23,9.63
357,곰보빵(경상도),70,275.1,43.69,6.04,8.45
358,곰보빵(서울),70,283.5,41.85,6.28,10.13
359,곰보빵(전라도),70,293.3,41.27,6.73,11.24
360,곰보빵(충청도),70,263.9,42.94,6.17,7.48
361,과일파이,100,182.06,38.71,2.8,2.46
362,과자,30,46.5,5.7,0.6,2.4
363,꽃게강정,170,260.51,22.83,17.66,11.14
364,꽈배기,65,262.38,30.7,5.13,13.23
365,꽈배기(강원도),65,258.7,29.85,5.09,13.19
366,꽈배기(경기도),65,258.7,30.72,4.63,13
367,꽈배기(경상도),65,245.05,33.93,4.74,10.04
368,꽈배기(서울),65,262.6,30.34,5.87,13.08
369,꽈배기(전라도),65,265.2,31.31,5.21,13.27
370,꽈배기(충청도),65,284.05,28.02,5.24,16.81
371,녹차스콘,60,184.59,31.24,4.39,4.79
372,녹차크레페,120,178.56,26.76,8,4.19
373,누룽지 과자,122,344.45,47.96,8.34,14.99
374,다시마칩,40,61.13,10.22,1.61,2.43
375,단호박 경단,69,162.87,30.57,3.59,3.33
376,두부샌드위치,195,190.4,22.25,8.31,9.67
377,라이스페이퍼 새우 롤,105,141.26,22.91,7.15,2.47
378,롤 피자,163,374.05,63.8,13.76,5.02
379,마늘빵,70,296.55,40.22,6.85,12.03
380,마늘빵,70,236.83,30.22,5.72,10.62
381,마늘빵(강원도),70,287,40.58,5.67,11.36
382,마늘빵(경기도),70,283.5,39.04,6.56,11.23
383,마늘빵(경상도),70,310.8,42.79,6.2,12.75
384,마늘빵(서울),70,281.4,38.01,7.91,10.89
385,마늘빵(전라도),70,311.5,41.83,7.36,12.73
386,마늘빵(충청도),70,304.5,39.05,7.39,13.22
387,만주,70,222.49,46.8,5.13,1.64
388,만주(강원도),70,220.5,46.98,5.39,1.25
389,만주(경기도),70,221.2,47.87,4.92,1.16
390,만주(경상도),70,217,44.95,5.12,1.84
391,만주(서울),70,223.3,48.33,5.11,1.06
392,만주(전라도),70,229.6,45.66,5.11,2.97
393,만주(충청도),70,222.6,47.03,5.14,1.57
394,머핀,130,560.71,69.29,7.37,28.23
395,머핀(강원도),130,556.4,68.88,7.37,28
396,머핀(경기도),130,570.7,70.57,7.37,28.84
397,머핀(경상도),130,547.3,69.49,7.37,26.61
398,머핀(서울),130,568.1,65.87,7.1,30.65
399,머핀(전라도),130,573.3,70.2,7.48,29.23
400,머핀(충청도),130,547.3,70.73,7.51,26.06
401,멸치누룽지과자,100,191.35,29.45,11.55,3.96
402,모닝빵,70,231.86,36.44,6.9,6.5
403,모닝빵,70,202.39,29.83,5.33,6.39
404,모닝빵(강원도),70,234.5,36.16,7.04,6.89
405,모닝빵(경기도),70,234.5,36.55,7.19,6.63
406,모닝빵(경상도),70,228.2,36.66,6.56,6.16
407,모닝빵(서울),70,235.9,36.41,6.74,7.07
408,모닝빵(전라도),70,227.5,35.81,6.92,6.29
409,모닝빵(충청도),70,229.6,37.04,6.98,5.96
410,미니 버거,79,123.41,8.29,10.18,5.5
411,미니타르트,94,312.45,20.61,3.14,23.59
412,바질 고구마 옥수수빵,75,160.75,23.32,7.85,4.52
413,버터크림빵,70,268.28,32.36,5.72,12.88
414,버터크림빵,70,205.8,23.52,3.92,10.78
415,버터크림빵(강원도),60,246,29.62,4.1,12.34
416,버터크림빵(경기도),60,243,27.65,4.02,12.91
417,버터크림빵(경상도),60,234.6,27.77,4.3,11.83
418,버터크림빵(서울),60,196.2,25.67,4.75,8.25
419,버터크림빵(전라도),60,234,26.57,7.58,10.81
420,버터크림빵(충청도),60,226.2,29.13,4.69,10.14
421,베이글,120,335.48,68.66,12.52,1.2
422,베이글(강원도),120,337.2,67.61,13.34,1.5
423,베이글(경기도),120,334.8,68.51,11.96,1.42
424,베이글(경상도),120,333.6,68.99,13.38,0.47
425,베이글(서울),120,338.4,69.89,11.26,1.56
426,베이글(전라도),120,342,69.76,11.81,1.7
427,베이글(충청도),120,326.4,67.17,13.37,0.54
428,블루베리 치즈무스케익,126,420.61,40.09,5.53,26.96
429,사과와 양파를 곁들인 돼지등심 요리,138,293.83,5.95,17.83,21.02
430,사과와 크림치즈를 곁들인 토스트,95,188.25,31.99,4.77,4.87
431,생크림케이크,100,278.07,27.59,3.9,16.9
432,생크림케이크(강원도),100,287,29.96,4.03,16.74
433,생크림케이크(경기도),100,286,25.62,3.71,18.75
434,생크림케이크(경상도),100,267,30.46,3.43,14.59
435,생크림케이크(서울),100,257,23.86,3.12,16.6
436,생크림케이크(전라도),100,288,26.83,5.11,17.78
437,생크림케이크(충청도),100,284,28.82,3.97,16.97
438,센베이,30,34.65,7.88,0.63,0
439,수퍼 브리또,145,253.47,40.6,9.37,6.42
440,식빵,40,113.2,20.44,3.32,2.08
441,아보카도 달걀 샌드위치,65,152.41,20.23,5.74,5.06
442,야채빵,70,135.49,23.64,4.18,2.25
443,야채빵,70,129.5,24.5,4.2,1.82
444,야채칩,100,72.2,17.76,1.82,0.12
445,"양송이버섯, 달걀크레페",215,349.1,48.2,16.77,9.57
446,잡곡강정,45,153.4,29.12,5.45,2.43
447,잣호두강정,19,93.71,7.94,2.02,6.8
448,찹쌀도우넛,70,207.05,39.95,3.53,3.68
449,찹쌀도우넛(강원도),70,209.3,39.74,3.97,3.84
450,찹쌀도우넛(경기도),70,202.3,39.78,3.3,3.36
451,찹쌀도우넛(경상도),70,201.6,41.21,3.1,2.67
452,찹쌀도우넛(서울),70,205.1,38.67,4.27,3.7
453,찹쌀도우넛(전라도),70,216.3,40.52,3.21,4.6
454,찹쌀도우넛(충청도),70,207.9,39.8,3.31,3.91
455,채소 커리를 곁들인 팬케익,313,253.81,31.64,15.02,7.26
456,채소 팬케익,273,285.83,38.66,14.06,7.64
457,채소고로케,100,300.65,31.19,7.12,16.38
458,채소고로케(강원도),100,274,34.13,7.18,12.05
459,채소고로케(경기도),100,262,31.81,7.57,11.56
460,채소고로케(경상도),100,317,28.63,7.34,19.24
461,채소고로케(서울),100,303,30.06,6.68,17.3
462,채소고로케(전라도),100,335,30.43,7.01,20.55
463,채소고로케(충청도),100,314,32.07,6.96,17.57
464,초콜릿케이크,100,420.24,43.6,5.32,24.95
465,초콜릿케이크(강원도),100,387,38.78,5.43,23.33
466,초콜릿케이크(경기도),100,433,43.98,5.31,26.22
467,초콜릿케이크(경상도),100,406,43,5.01,23.82
468,초콜릿케이크(서울),100,425,47.99,5.53,23.44
469,초콜릿케이크(전라도),100,428,46.71,5.17,24.53
470,초콜릿케이크(충청도),100,442,41.12,5.44,28.38
471,치즈케이크,100,329.14,28.64,7.22,20.63
472,치즈케이크(강원도),100,315,27.12,7.04,19.84
473,치즈케이크(경기도),100,336,27.68,7.14,21.87
474,치즈케이크(경상도),100,310,29.66,7.3,18.03
475,치즈케이크(서울),100,341,27.84,7.63,22.13
476,치즈케이크(전라도),100,342,28.6,7.17,22.06
477,치즈케이크(충청도),100,331,30.93,7.07,19.87
478,카스텔라,70,235.1,36.28,5.44,7.58
479,카스텔라,70,158.76,30.87,2.94,2.94
480,카스텔라(강원도),70,223.3,40,5.1,4.77
